,Code_Postal,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,Ville
30,03400,,,,,,,2.0,,,GENNETINES
31,03500,,,,,,,1.0,,,CESSET
32,04000,,,,,,,2.0,,1.0,DIGNE-LES-BAINS
33,04100,,,,2.0,,13.0,,1.0,5.0,MANOSQUE
34,04160,,,2.0,,,,,,,CHATEAU-ARNOUX-SAINT-AUBAN
35,04200,,,,2.0,7.0,,,,,CHATEAUNEUF-VAL-SAINT-DONAT
36,04380,,,1.0,,,,,,,THOARD
37,05000,,2.0,2.0,3.0,1.0,,6.0,,,LA ROCHETTE
38,05100,,4.0,,2.0,,1.0,4.0,,,PUY-SAINT-PIERRE
39,05230,,6.0,,,,,,,,CHORGES
40,05560,,,,1.0,,,,3.0,,VARS
41,06000,11.0,281.0,373.0,436.0,341.0,357.0,420.0,762.0,439.0,NICE
42,06008,,5.0,3.0,35.0,2.0,38.0,15.0,25.0,17.0,
43,06100,,,4.0,1.0,2.0,6.0,14.0,8.0,32.0,
44,06110,,5.0,,1.0,,,28.0,26.0,21.0,LE CANNET
45,06114,,,,,,,,,1.0,
46,06130,,,7.0,12.0,6.0,123.0,36.0,20.0,63.0,
47,06140,,,,2.0,12.0,11.0,2.0,,,TOURRETTES-SUR-LOUP
48,06150,,19.0,43.0,49.0,37.0,53.0,41.0,45.0,43.0,
49,06160,,,2.0,3.0,,,,,,
50,06190,,,,3.0,2.0,,3.0,2.0,,ROQUEBRUNE-CAP-MARTIN
51,06200,,24.0,4.0,5.0,9.0,48.0,28.0,62.0,48.0,
52,06206,,,,,,,,,1.0,
53,06210,,,2.0,26.0,1.0,,7.0,30.0,2.0,MANDELIEU-LA-NAPOULE
54,06220,,,2.0,1.0,,,,5.0,6.0,VALLAURIS
55,06230,,,,,,2.0,,,,SAINT-JEAN-CAP-FERRAT
56,06240,,,,5.0,2.0,,,11.0,,BEAUSOLEIL
57,06250,,,,,4.0,,,,,MOUGINS
58,06260,,,,4.0,,,,,1.0,LA CROIX-SUR-ROUDOULE
59,06270,,,,,,,,1.0,,VILLENEUVE-LOUBET
60,06300,,29.0,2.0,37.0,21.0,54.0,49.0,42.0,27.0,
61,06320,,,,,,1.0,,,,CAP-D'AIL
62,06340,,,,20.0,,1.0,6.0,,1.0,LA TRINITE
63,06360,,,,,,2.0,,,,EZE
64,06370,,22.0,5.0,4.0,19.0,,1.0,2.0,,MOUANS-SARTOUX
65,06380,,,,2.0,,,,,,SOSPEL
66,06390,,,,,,,12.0,,,BERRE-LES-ALPES
67,06400,,1.0,,,,,4.0,3.0,2.0,
68,06410,,5.0,,10.0,,,,,,BIOT
69,06420,,,,2.0,,,,,,MARIE
70,06430,,,,4.0,,1.0,,9.0,8.0,LA BRIGUE
71,06450,,,,1.0,,,,,,LANTOSQUE
72,06460,,,,2.0,,,,,,CAUSSOLS
73,06470,,,,9.0,,,,,,VILLENEUVE-D'ENTRAUNES
74,06500,,,3.0,22.0,19.0,3.0,22.0,18.0,1.0,CASTILLON
75,06510,,,,23.0,,,2.0,9.0,,CARROS
76,06520,,,,,,,,3.0,,
77,06530,,,,,,,3.0,6.0,1.0,SPERACEDES
78,06540,,,,2.0,,1.0,1.0,11.0,10.0,SAORGE
79,06550,,,3.0,,,,,,,LA ROQUETTE-SUR-SIAGNE
80,06560,,,,1.0,1.0,,,15.0,8.0,VALBONNE
81,06570,,2.0,,,,,,,,SAINT-PAUL-DE-VENCE
82,06600,,18.0,36.0,43.0,31.0,26.0,14.0,38.0,24.0,
83,06670,,2.0,,4.0,,,,4.0,1.0,LA ROQUETTE-SUR-VAR
84,06700,,,,,5.0,1.0,,,2.0,SAINT-LAURENT-DU-VAR
85,06730,,,,2.0,4.0,,,,10.0,SAINT-ANDRE-DE-LA-ROCHE
86,06750,,,,,,,3.0,,,CAILLE
87,06800,,,,10.0,,6.0,,2.0,,CAGNES-SUR-MER
88,06830,,,,,,,3.0,,,REVEST-LES-ROCHES
89,06850,,,,1.0,,2.0,,10.0,,BRIANCONNET
90,06910,,,,,,,1.0,,,SIGALE
91,07000,,,1.0,,,1.0,,3.0,7.0,AJOUX
92,07100,,1.0,1.0,,,,,,1.0,ROIFFIEUX
93,07110,,,,,,3.0,,,,VINEZAC
94,07120,,,,,,,,4.0,,LABEAUME
95,07130,,,1.0,,,,,,,SAINT-PERAY
96,07140,,,,,,,,4.0,,LES VANS
97,07150,,,,1.0,,,,,6.0,BESSAS
98,07160,,,,,,,,11.0,,SAINT-JEAN-ROURE
99,07200,,6.0,,,,,,3.0,4.0,SAINT-JULIEN-DU-SERRE
100,07230,,,,,,,,,4.0,PLANZOLLES
101,07240,,,,,,,,2.0,,CHALENCON
102,07250,,,,,,,,,1.0,ROMPON
103,07260,,,,,,,,3.0,,DOMPNAC
104,07300,,,,,,,1.0,,,TOURNON-SUR-RHONE
105,07700,,,,,,,,2.0,,BOURG-SAINT-ANDEOL
106,07800,,,,,,,,1.0,,LA VOULTE-SUR-RHONE
107,08000,,3.0,3.0,7.0,4.0,,5.0,7.0,10.0,PRIX-LES-MEZIERES
108,08110,,2.0,,,,2.0,,,,WILLIERS
109,08160,,,,,,,,1.0,,FLIZE
110,08210,,,,,,,,1.0,,YONCQ
111,08250,,,,,,,2.0,,,AUTRY
112,08300,,,,,1.0,,,,,ECLY
113,08500,,,,,,,,1.0,,LES MAZURES
114,08600,,,1.0,,,2.0,,,,CHARNOIS
115,08700,,,,,,2.0,,,,NOUZONVILLE
116,08859,,,,,,9.0,,,,
117,09000,,,,,3.0,,,8.0,,L'HERM
118,09100,,,9.0,,,,,,,LES PUJOLS
119,09200,,,4.0,,,,,,,ERP
120,09400,,,,,,,1.0,,,ORNOLAC-USSAT-LES-BAINS
121,10000,,1.0,21.0,4.0,9.0,1.0,22.0,5.0,14.0,TROYES
122,10007,,,,,,,2.0,,,
123,10100,,,,,4.0,,2.0,,3.0,ROMILLY-SUR-SEINE
124,10400,,,,2.0,,,,,1.0,MONTPOTHIER
125,11000,,,3.0,15.0,1.0,1.0,,,6.0,CARCASSONNE
126,11100,,2.0,,3.0,,20.0,4.0,3.0,4.0,MONTREDON-DES-CORBIERES
127,11200,,,,,,,,,2.0,CONILHAC-CORBIERES
128,11210,,,,3.0,,,1.0,,,PORT-LA-NOUVELLE
129,11230,,1.0,,,,,,,,PEYREFITTE-DU-RAZES
130,11400,,,2.0,3.0,,,,,,PUGINIER
131,11510,,,,,,,,13.0,,FEUILLA
132,12000,,,4.0,2.0,,1.0,,,,LE MONASTERE
133,12100,,1.0,,,4.0,,,,,MILLAU
134,12160,,,,,,,,1.0,,MOYRAZES
135,12300,,7.0,,,,,,,,FLAGNAC
136,12390,,,,,,,,2.0,,RIGNAC
137,12500,,,,2.0,,,,,5.0,LASSOUTS
138,12520,,,,,,,,,2.0,COMPEYRE
139,13000,,,,,,13.0,,30.0,,MARSEILLE
140,13001,,4.0,19.0,14.0,1.0,1.0,17.0,36.0,16.0,MARSEILLE--1ER-ARRONDISSEMENT
141,13002,,,,1.0,10.0,,10.0,,1.0,MARSEILLE--2E--ARRONDISSEMENT
142,13003,7.0,13.0,,10.0,2.0,1.0,36.0,92.0,24.0,MARSEILLE--3E--ARRONDISSEMENT
143,13004,,,,,,,10.0,,,MARSEILLE--4E--ARRONDISSEMENT
144,13006,,,6.0,,,,,17.0,12.0,MARSEILLE--6E--ARRONDISSEMENT
145,13007,,,,,,,,3.0,,MARSEILLE--7E--ARRONDISSEMENT
146,13008,,,,,,4.0,3.0,7.0,9.0,MARSEILLE--8E--ARRONDISSEMENT
147,13009,,,,,,,1.0,4.0,6.0,MARSEILLE--9E--ARRONDISSEMENT
148,13010,,,,,,,9.0,15.0,1.0,MARSEILLE-10E--ARRONDISSEMENT
149,13011,,3.0,,12.0,,,,1.0,,MARSEILLE-11E--ARRONDISSEMENT
150,13012,,,,4.0,5.0,,,2.0,,MARSEILLE-12E--ARRONDISSEMENT
151,13013,9.0,77.0,114.0,118.0,117.0,93.0,207.0,705.0,321.0,MARSEILLE-13E--ARRONDISSEMENT
152,13014,,4.0,,1.0,,,1.0,45.0,,MARSEILLE-14E--ARRONDISSEMENT
153,13015,,,6.0,,,,,31.0,32.0,MARSEILLE-15E--ARRONDISSEMENT
154,13016,,,,,5.0,,,,,MARSEILLE-16E--ARRONDISSEMENT
155,13090,,,,,,,,,4.0,
156,13100,,,13.0,14.0,21.0,23.0,7.0,3.0,1.0,SAINT-ANTONIN-SUR-BAYON
157,13110,,,,,,4.0,,,2.0,PORT-DE-BOUC
158,13127,,,,,7.0,,3.0,25.0,2.0,VITROLLES
159,13130,,,,,,,,18.0,,BERRE-L'ETANG
160,13160,,,,2.0,,,,12.0,,CHATEAURENARD
161,13200,,12.0,,20.0,,3.0,5.0,,25.0,ARLES
162,13232,,,,,,,,1.0,,
163,13240,,,,,,,1.0,,,SEPTEMES-LES-VALLONS
164,13270,,,,5.0,,,,19.0,,FOS-SUR-MER
165,13280,,,,,2.0,,,,,
166,13300,,,,3.0,6.0,,,7.0,,SALON-DE-PROVENCE
167,13400,,19.0,10.0,3.0,2.0,,,8.0,7.0,AUBAGNE
168,13430,,,,,,,,1.0,,EYGUIERES
169,13450,,,,7.0,,,,1.0,,GRANS
170,13500,,,,3.0,,13.0,1.0,10.0,13.0,MARTIGUES
171,13530,,,,1.0,,,,13.0,,TRETS
172,13580,,,,,,,,1.0,,LA FARE-LES-OLIVIERS
173,13600,,1.0,2.0,9.0,,,2.0,1.0,,CEYRESTE
174,13680,,,,,,,,33.0,,LANCON-PROVENCE
175,13690,,,,1.0,,,,,,GRAVESON
176,13700,,,1.0,,15.0,,,14.0,,MARIGNANE
177,13710,,,,,,,,1.0,,FUVEAU
178,13770,,,,,,,,5.0,,VENELLES
179,13800,,,,,,,2.0,12.0,6.0,ISTRES
180,13870,,,,,,3.0,,,,ROGNONAS
181,13960,,,,,,,,1.0,,SAUSSET-LES-PINS
182,14000,,17.0,10.0,38.0,67.0,16.0,19.0,12.0,18.0,CAEN
183,14027,,5.0,,,,,,,,
184,14100,,,1.0,,,,,,,L'HOTELLERIE
185,14130,,,,,,2.0,,,,LE MESNIL-SUR-BLANGY
186,14200,,,,,,,,,3.0,HEROUVILLE-SAINT-CLAIR
187,14500,,,,2.0,4.0,,,,,VAUDRY
188,14670,,,,5.0,,,,,,JANVILLE
189,14710,,,,,,,25.0,,,COLLEVILLE-SUR-MER
190,14780,,,,,,,6.0,,,LION-SUR-MER
191,14800,,2.0,,,,,,,,BONNEVILLE-SUR-TOUQUES
192,15000,,,2.0,1.0,8.0,2.0,3.0,20.0,6.0,AURILLAC
193,15100,,,,,,,,,4.0,SOULAGES
194,15110,,,,2.0,,,1.0,3.0,25.0,CHAUDES-AIGUES
195,15200,,,,,,,,1.0,6.0,MEALLET
196,16000,,,,,,9.0,8.0,6.0,,ANGOULEME
197,16006,,,,,,,,2.0,,
198,16100,,,,3.0,,10.0,24.0,3.0,37.0,CHATEAUBERNARD
199,16110,,,,,,,,8.0,,LA ROCHETTE
200,16130,,,,,,,1.0,,,SAINT-PREUIL
201,16160,,,,,,,,,1.0,GOND-PONTOUVRE
202,16170,,,,,,,,,7.0,VAUX-ROUILLAC
203,16190,,1.0,,,,,,,,SALLES-LAVALETTE
204,16200,,,4.0,,,,,,,MAINXE
205,16210,,,,,,,1.0,8.0,,ORIVAL
206,16260,,,,,,,,,2.0,LES PINS
207,16270,,,,,,,4.0,,,SURIS
208,16300,,1.0,,,,,1.0,,1.0,MONTCHAUDE
209,16360,,,1.0,,,,,,,BORS (CANTON DE BAIGNES-SAINTE-RADEGONDE)
210,16370,,,,,,2.0,,,,CHERVES-RICHEMONT
211,16380,,,,,,,,1.0,,FEUILLADE
212,16400,,,,4.0,,,,,,VOEUIL-ET-GIGET
213,16500,,,1.0,,,,,,4.0,ABZAC
214,16730,,,,5.0,,,,,,TROIS-PALIS
215,16800,,17.0,5.0,,,,,,,SOYAUX
216,17000,,23.0,22.0,35.0,2.0,6.0,12.0,74.0,8.0,LA ROCHELLE
217,17100,,,,7.0,,,7.0,1.0,,FONTCOUVERTE
218,17139,,,,,,,,1.0,,DOMPIERRE-SUR-MER
219,17160,,,,,,1.0,,,,HAIMPS
220,17170,,,,,,,5.0,,,LA RONDE
221,17180,,,,,,1.0,,,,PERIGNY
222,17200,,,2.0,,,,1.0,,,SAINT-SULPICE-DE-ROYAN
223,17230,,,,,2.0,,,,,LONGEVES
224,17260,,,,,,,1.0,,,SAINT-ANDRE-DE-LIDON
225,17300,,,,2.0,,,4.0,18.0,7.0,ROCHEFORT
226,17400,,,1.0,9.0,5.0,1.0,4.0,4.0,3.0,FONTENET
227,17420,,,,,3.0,,,,,SAINT-PALAIS-SUR-MER
228,17470,,,,2.0,4.0,1.0,,,,VILLEMORIN
229,17500,,,,,3.0,,,,,LUSSAC
230,17550,,,,,12.0,1.0,10.0,,,DOLUS-D'OLERON
231,17580,,,,,,1.0,,,,LE BOIS-PLAGE-EN-RE
232,17620,,,,,1.0,,,,,CHAMPAGNE
233,17650,,,,1.0,,,,,,SAINT-DENIS-D'OLERON
234,17700,,,,,,,,9.0,,BREUIL-LA-REORTE
235,17770,,,,,,2.0,1.0,,,LE SEURE
236,18000,,,,1.0,,,,,,BOURGES
237,18022,,2.0,1.0,9.0,14.0,1.0,1.0,,9.0,
238,18100,,,,,1.0,,,,,SAINT-HILAIRE-DE-COURT
239,18120,,,,,,1.0,,,,PREUILLY
240,18200,,,,1.0,,,,,,BRUERE-ALLICHAMPS
241,18370,,,,,,8.0,,,,CHATEAUMEILLANT
242,18700,,,,,1.0,,,,,MENETREOL-SUR-SAULDRE
243,19000,,,6.0,,4.0,,1.0,,4.0,LES ANGLES-SUR-CORREZE
244,19100,,,6.0,4.0,2.0,1.0,10.0,,8.0,BRIVE-LA-GAILLARDE
245,19200,,,,,,,8.0,,1.0,SAINT-PARDOUX-LE-VIEUX
246,19240,,,,,,,1.0,,,SAINT-VIANCE
247,19600,,,,,2.0,,,,,NESPOULS
248,20000,,1.0,,1.0,4.0,1.0,,17.0,,AJACCIO
249,20090,,,,,,,,2.0,,
250,20137,,,1.0,,,,,,,PORTO-VECCHIO
251,20200,,,1.0,1.0,2.0,,1.0,4.0,,SANTA-MARIA-DI-LOTA
252,20240,,,,1.0,,,,,,POGGIO-DI-NAZZA
253,20270,1.0,,,,,,,,,TOX
254,21000,,48.0,25.0,25.0,48.0,6.0,37.0,38.0,18.0,DIJON
255,21110,,1.0,,,,,,,,PREMIERES
256,21130,,3.0,,,,,,,,TILLENAY
257,21160,,,,,,,6.0,,,PERRIGNY-LES-DIJON
258,21170,,3.0,,,,,,,,FRANXAULT
259,21200,,1.0,,,,,,2.0,,CHOREY-LES-BEAUNE
260,21270,,3.0,,,,,,,,PERRIGNY-SUR-L'OGNON
261,21370,,3.0,,,,,,,,PRENOIS
262,21400,,13.0,,,,,,,,PRUSLY-SUR-OURCE
263,21500,,,,,,,,1.0,,COURCELLES-LES-MONTBARD
264,21590,,,,4.0,,,,,,SANTENAY
265,21850,,,,,1.0,,,,,SAINT-APOLLINAIRE
266,22000,,2.0,6.0,2.0,,,,18.0,1.0,SAINT-BRIEUC
267,22100,,,,,5.0,,1.0,,,TADEN
268,22130,,1.0,,,,,,,,CORSEUL
269,22200,,,3.0,,,1.0,,,6.0,SAINT-AGATHON
270,22300,,2.0,2.0,1.0,18.0,3.0,1.0,,2.0,LANMERIN
271,22380,,,,,10.0,,,,,SAINT-CAST-LE-GUILDO
272,22400,,,,,,,1.0,,,LAMBALLE
273,22540,,1.0,,,,,,,,TREGLAMUS
274,22600,,2.0,,,,,,,,LOUDEAC
275,22700,,,,,6.0,,,,,LOUANNEC
276,23000,,5.0,,4.0,,3.0,3.0,,1.0,LA SAUNIERE
277,23220,,2.0,,,,,,,,MORTROUX
278,23800,,,,,,1.0,,,,MAISON-FEYNE
279,24000,,1.0,,,3.0,,,,1.0,PERIGUEUX
280,24100,2.0,4.0,9.0,16.0,,,1.0,4.0,22.0,LEMBRAS
281,24122,,,,,,,,2.0,,
282,24140,,,2.0,,,,,,,VILLAMBLARD
283,24200,,1.0,,,,,,,,PROISSANS
284,24230,,1.0,,,,,,,,SAINT-ANTOINE-DE-BREUILH
285,24410,,,,,,,,1.0,,LA JEMAYE
286,24470,,,,,,5.0,,,,MILHAC-DE-NONTRON
287,24490,,,,,4.0,,,,,LA ROCHE-CHALAIS
288,24510,,,,,,,1.0,,,SAINT-MARCEL-DU-PERIGORD
289,24600,,6.0,,,3.0,,,,,SAINT-MARTIN-DE-RIBERAC
290,24700,,,,,4.0,,,7.0,,SAINT-GERAUD-DE-CORPS
291,24750,,,8.0,,,,,,,TRELISSAC
292,25000,9.0,,11.0,7.0,7.0,22.0,18.0,8.0,27.0,BESANCON
293,25170,,,,4.0,,1.0,,,5.0,COURCHAPON
294,25200,,,,,,,16.0,14.0,,BETHONCOURT
295,25220,,,1.0,,,,,,,VAIRE-ARCIER
296,25300,,,2.0,,,4.0,,,,DOMMARTIN
297,25520,,,,,,,1.0,,,BIANS-LES-USIERS
298,25870,,,,,,,,1.0,,CUSSEY-SUR-L'OGNON
299,26000,,7.0,4.0,1.0,17.0,13.0,7.0,26.0,5.0,VALENCE
300,26100,,,,,,3.0,8.0,,,ROMANS-SUR-ISERE
301,26140,,,,,,18.0,,,,ALBON
302,26200,,4.0,,7.0,,2.0,1.0,10.0,,MONTELIMAR
303,26230,,,,,,1.0,,,,CHANTEMERLE-LES-GRIGNAN
304,26240,,,,1.0,,3.0,,,,CLAVEYSON
305,26300,,,,1.0,,,,,,CHARPEY
306,26400,,,,,,,5.0,,,SOYANS
307,26460,,,,,,,,,13.0,BEZAUDUN-SUR-BINE
308,26560,,,,1.0,,,,,,EYGALAYES
309,26600,,,,,1.0,,,,,EROME
310,26700,,,,,,,1.0,,5.0,PIERRELATTE
311,27000,,,,,8.0,,,4.0,,EVREUX
312,27130,,,1.0,,,,,,,COURTEILLES
313,27140,,,1.0,,,,,,,BAZINCOURT-SUR-EPTE
314,27150,,,,1.0,,,,,,LE THIL
315,27200,,,9.0,3.0,8.0,7.0,9.0,8.0,3.0,VERNON
316,27250,,,1.0,,,,,,,BOIS-ARNAULT
317,27270,,,,,,,,1.0,,LA TRINITE-DE-REVILLE
318,27300,,,,10.0,,,,,,PLAINVILLE
319,27380,,,,,,,,11.0,,FLEURY-SUR-ANDELLE
320,27480,,,12.0,,,,,,,BOSQUENTIN
321,27500,,,5.0,,,,,,,TOURVILLE-SUR-PONT-AUDEMER
322,27540,,,,,,,1.0,,,IVRY-LA-BATAILLE
323,27620,,,,6.0,,,,,,SAINTE-GENEVIEVE-LES-GASNY
324,27910,,,,,,,,5.0,,LES HOGUES
325,27950,,,,,,1.0,,,,SAINT-VINCENT-DES-BOIS
326,28000,,3.0,4.0,14.0,10.0,1.0,,15.0,5.0,CHARTRES
327,28100,,,,1.0,,1.0,6.0,18.0,1.0,DREUX
328,28130,,,,,4.0,,,,,SAINT-MARTIN-DE-NIGELLES
329,28150,,,,,,,,2.0,,MONTAINVILLE
330,28200,,2.0,,,,,,,,LANNERAY
331,28230,,,,13.0,8.0,1.0,,18.0,,DROUE-SUR-DROUETTE
332,28300,,,1.0,1.0,,,,,,CHAMPHOL
333,28330,,,,,,1.0,,,,AUTHON-DU-PERCHE
334,28400,,8.0,,,,,,,,BRUNELLES
335,28500,,,,,4.0,,,,,SAULNIERES
336,28700,,3.0,,,,,,,,ARDELU
337,29000,,,1.0,,,10.0,,2.0,14.0,QUIMPER
338,29100,,,,,1.0,,,,,KERLAZ
339,29150,,,,,,,,,9.0,CHATEAULIN
340,29200,,14.0,11.0,34.0,9.0,6.0,,32.0,24.0,BREST
341,29280,,,,,,,,,2.0,LOCMARIA-PLOUZANE
342,29300,,,,,,,3.0,1.0,2.0,MELLAC
343,29400,,,,,,,1.0,,,SAINT-SERVAIS
344,29460,,,,,4.0,,,,,DAOULAS
345,29590,,,,,,,,7.0,,LOPEREC
346,29600,,1.0,,,,1.0,,2.0,,SAINT-MARTIN-DES-CHAMPS
347,29630,,,,,3.0,,,,,PLOUGASNOU
348,29800,,,,1.0,,,,,,LA FOREST-LANDERNEAU
349,30000,,1.0,,,13.0,,,,,
350,30100,,1.0,1.0,,,10.0,,49.0,1.0,ALES
351,30120,,,,,,,,2.0,,ROGUES
352,30140,,,,,3.0,,,,,SAINT-JEAN-DU-PIN
353,30200,,,,1.0,,,,,,SAINT-ETIENNE-DES-SORTS
354,30240,,1.0,,,,,,,,LE GRAU-DU-ROI
355,30270,,,,,1.0,,,,,SAINT-JEAN-DU-GARD
356,30360,,,,,,,,3.0,,MARTIGNARGUES
357,30700,1.0,,1.0,,,,,,,MONTAREN-ET-SAINT-MEDIERS
358,30900,,3.0,,2.0,,4.0,3.0,8.0,2.0,
359,31000,1.0,25.0,7.0,18.0,5.0,,76.0,12.0,5.0,
360,31058,,,1.0,,,,,,,
361,31100,,1.0,1.0,,3.0,,,,,
362,31120,,,,,,,3.0,2.0,,PINSAGUEL
363,31200,,,,7.0,2.0,2.0,,3.0,,
364,31270,,,1.0,,,,,,,FROUZINS
365,31290,,,,,4.0,,,,,BEAUTEVILLE
366,31300,2.0,99.0,59.0,115.0,92.0,88.0,99.0,92.0,69.0,
367,31320,,,,5.0,,,,,,PECHBUSQUE
368,31390,,,,,,,,2.0,,CARBONNE
369,31400,,,1.0,2.0,,,6.0,6.0,5.0,
370,31440,,,,,,10.0,,,,LEZ
371,31450,,,,,,,,,5.0,LABASTIDE-BEAUVOIR
372,31470,,,,,,,1.0,,,BONREPOS-SUR-AUSSONNELLE
373,31480,,,,,,,,1.0,,CAUBIAC
374,31490,,,,,,1.0,,,,LEGUEVIN
375,31500,,7.0,11.0,4.0,,4.0,5.0,6.0,1.0,
376,31530,,,,,2.0,,,,,MONTAIGUT-SUR-SAVE
377,31560,,,,,1.0,,,,,SAINT-LEON
378,31600,,,,,,23.0,,6.0,,SEYSSES
379,31700,,1.0,,6.0,,14.0,16.0,,,CORNEBARRIEU
380,31703,,,,7.0,,,,1.0,,
381,31770,,,,,,,,,4.0,COLOMIERS
382,31780,,,,,,,1.0,,,CASTELGINEST
383,31800,,,2.0,18.0,,,,3.0,,MIRAMONT-DE-COMMINGES
384,31860,,,,,,,5.0,,,VILLATE
385,32000,,,2.0,7.0,3.0,,2.0,,,AUCH
386,33000,249.0,2066.0,2131.0,2299.0,1671.0,1757.0,2016.0,2372.0,1628.0,BORDEAUX
387,33045,,2.0,,,,,,,,
388,33100,,2.0,4.0,2.0,2.0,13.0,2.0,5.0,3.0,
389,33110,,,,,,,1.0,,6.0,LE BOUSCAT
390,33120,,13.0,,21.0,8.0,8.0,10.0,,,ARCACHON
391,33121,,,1.0,,,,,,,CARCANS
392,33124,,,,,,,,3.0,,BERTHEZ
393,33127,,3.0,,,,,,,,MARTIGNAS-SUR-JALLE
394,33130,11.0,30.0,,,1.0,,3.0,,26.0,BEGLES
395,33138,,5.0,,3.0,,,,,,LANTON
396,33140,,4.0,1.0,1.0,4.0,,,2.0,1.0,VILLENAVE-D'ORNON
397,33150,,64.0,14.0,61.0,57.0,23.0,22.0,11.0,8.0,CENON
398,33160,,24.0,1.0,5.0,2.0,2.0,,3.0,,SAINT-AUBIN-DE-MEDOC
399,33170,,9.0,,11.0,2.0,8.0,1.0,,4.0,GRADIGNAN
400,33185,,8.0,,1.0,,4.0,,,17.0,LE HAILLAN
401,33190,,,,,4.0,7.0,11.0,8.0,,BAGAS
402,33200,,9.0,,,2.0,,1.0,58.0,,
403,33210,,,8.0,,2.0,2.0,2.0,,38.0,CASTETS-EN-DORTHE
404,33220,,18.0,,,,,,,,PORT-SAINTE-FOY-ET-PONCHAPT
405,33230,,,,11.0,,,,,2.0,MARANSIN
406,33240,,,,,3.0,21.0,5.0,,13.0,TARNES
407,33250,,,,2.0,,5.0,,,4.0,SAINT-SAUVEUR
408,33270,,21.0,1.0,3.0,4.0,,1.0,7.0,8.0,FLOIRAC
409,33290,,12.0,6.0,1.0,,32.0,30.0,3.0,5.0,PAREMPUYRE
410,33300,3.0,49.0,107.0,39.0,35.0,35.0,38.0,31.0,32.0,
411,33310,,10.0,8.0,35.0,3.0,22.0,45.0,11.0,10.0,LORMONT
412,33320,,17.0,17.0,2.0,12.0,19.0,1.0,5.0,2.0,LE TAILLAN-MEDOC
413,33340,,,,2.0,4.0,29.0,,43.0,5.0,PRIGNAC-EN-MEDOC
414,33350,,,,2.0,,,,,,BELVES-DE-CASTILLON
415,33360,,,,4.0,,,,,,CAMBLANES-ET-MEYNAC
416,33370,,,,,,,1.0,3.0,40.0,BONNETAN
417,33380,,,1.0,,,,,,,MARCHEPRIME
418,33390,,,,,,10.0,2.0,7.0,,SAINT-GENES-DE-BLAYE
419,33400,3.0,18.0,38.0,18.0,28.0,29.0,25.0,39.0,31.0,TALENCE
420,33410,,,1.0,,,,,,,LOUPIAC
421,33430,,,4.0,2.0,,,10.0,,,GANS
422,33440,,6.0,,,6.0,,,6.0,,AMBARES-ET-LAGRAVE
423,33450,,,,,,,,7.0,3.0,MONTUSSAN
424,33470,,1.0,,8.0,,,2.0,,,LE TEICH
425,33480,,,,4.0,,,,,,CASTELNAU-DE-MEDOC
426,33490,,,,,1.0,,,,,SAINT-PIERRE-D'AURILLAC
427,33500,4.0,18.0,48.0,32.0,4.0,25.0,25.0,45.0,59.0,NEAC
428,33510,,5.0,,,,12.0,,,,ANDERNOS-LES-BAINS
429,33520,,2.0,,7.0,,1.0,12.0,2.0,6.0,BRUGES
430,33530,2.0,,,2.0,2.0,,,2.0,,BASSENS
