,monthly,departement,territoire,status_ADMIN_SOLIGUIDE,status_ADMIN_TERRITORY,status_PRO
97,2021-06,Bouches-du-Rhône,13,2.0,0.0,26.0
98,2021-06,Charente,16,0.0,0.0,1.0
99,2021-06,Dordogne,24,0.0,0.0,2.0
100,2021-06,Essonne,91,790.0,0.0,147.0
101,2021-06,Gironde,06,1035.0,0.0,498.0
102,2021-06,Hauts-de-Seine,92,1578.0,0.0,246.0
103,2021-06,Loire-Atlantique,44,740.0,0.0,244.0
104,2021-06,Nord,59,26.0,0.0,19.0
105,2021-06,Oise,60,7.0,0.0,0.0
106,2021-06,Paris,75,2608.0,0.0,614.0
107,2021-06,Pyrénées-Orientales,66,4.0,0.0,0.0
108,2021-06,Seine-Saint-Denis,93,1066.0,0.0,256.0
109,2021-06,Seine-et-Marne,77,588.0,0.0,101.0
110,2021-06,Val-d'Oise,95,469.0,0.0,18.0
111,2021-06,Val-de-Marne,94,1536.0,0.0,656.0
112,2021-06,Yvelines,78,875.0,0.0,202.0
113,2021-07,Alpes-Maritimes,06,989.0,0.0,42.0
114,2021-07,Ardennes,08,1.0,0.0,0.0
115,2021-07,Bas-Rhin,67,481.0,0.0,33.0
116,2021-07,Bouches-du-Rhône,13,9.0,0.0,39.0
117,2021-07,Dordogne,24,6.0,0.0,0.0
118,2021-07,Essonne,91,374.0,0.0,249.0
119,2021-07,Gironde,33,1276.0,0.0,511.0
120,2021-07,Hauts-de-Seine,92,1567.0,0.0,75.0
121,2021-07,Loire-Atlantique,44,2782.0,0.0,62.0
122,2021-07,Paris,75,1948.0,0.0,304.0
123,2021-07,Pyrénées-Orientales,66,6.0,0.0,0.0
124,2021-07,Seine-Saint-Denis,93,1972.0,0.0,67.0
125,2021-07,Seine-et-Marne,77,489.0,0.0,24.0
126,2021-07,Val-d'Oise,95,1428.0,0.0,126.0
127,2021-07,Val-de-Marne,94,1527.0,0.0,158.0
128,2021-07,Yvelines,78,958.0,0.0,234.0
129,2021-08,Alpes-Maritimes,06,552.0,0.0,99.0
130,2021-08,Ardennes,08,1.0,0.0,0.0
131,2021-08,Bas-Rhin,67,392.0,0.0,17.0
132,2021-08,Bouches-du-Rhône,13,13.0,0.0,567.0
133,2021-08,Essonne,91,953.0,0.0,19.0
134,2021-08,Gironde,33,542.0,0.0,23.0
135,2021-08,Hauts-de-Seine,92,102.0,0.0,76.0
136,2021-08,Loire-Atlantique,44,18.0,0.0,1.0
137,2021-08,Paris,75,227.0,0.0,70.0
138,2021-08,Puy-de-Dôme,63,8.0,0.0,0.0
139,2021-08,Seine-Maritime,76,6.0,0.0,0.0
140,2021-08,Seine-Saint-Denis,93,208.0,0.0,21.0
141,2021-08,Seine-et-Marne,77,955.0,0.0,35.0
142,2021-08,Val-d'Oise,95,616.0,0.0,4.0
143,2021-08,Val-de-Marne,94,230.0,0.0,37.0
144,2021-08,Yvelines,78,505.0,0.0,10.0
145,2021-09,Ain,01,7.0,0.0,0.0
146,2021-09,Aisne,02,1.0,0.0,0.0
147,2021-09,Allier,03,4.0,0.0,0.0
148,2021-09,Alpes-Maritimes,06,330.0,0.0,23.0
149,2021-09,Alpes-de-Haute-Provence,,2.0,0.0,0.0
150,2021-09,Ardennes,08,2.0,0.0,0.0
151,2021-09,Ardèche,0,150.0,0.0,0.0
152,2021-09,Ariège,06,3.0,0.0,0.0
153,2021-09,Aude,,4.0,0.0,0.0
154,2021-09,Aveyron,,1.0,0.0,0.0
155,2021-09,Bas-Rhin,67,77.0,0.0,48.0
156,2021-09,Bouches-du-Rhône,13,128.0,0.0,6.0
157,2021-09,Calvados,,2.0,0.0,0.0
158,2021-09,Cantal,15,46.0,0.0,0.0
159,2021-09,Charente,16,2.0,0.0,0.0
160,2021-09,Charente-Maritime,17,4.0,0.0,0.0
161,2021-09,Cher,,2.0,0.0,0.0
162,2021-09,Corrèze,,1.0,0.0,0.0
163,2021-09,Corse-du-Sud,,1.0,0.0,0.0
164,2021-09,Creuse,,1.0,0.0,0.0
165,2021-09,Côte-d'Or,21,2.0,0.0,0.0
166,2021-09,Côtes-d'Armor,,5.0,0.0,0.0
167,2021-09,Deux-Sèvres,,1.0,0.0,0.0
168,2021-09,Dordogne,24,2.0,0.0,0.0
169,2021-09,Doubs,,4.0,0.0,0.0
170,2021-09,Drôme,,12.0,0.0,0.0
171,2021-09,Essonne,91,81.0,0.0,11.0
172,2021-09,Eure,,3.0,0.0,0.0
173,2021-09,Eure-et-Loir,,2.0,0.0,0.0
174,2021-09,Finistère,,6.0,0.0,0.0
175,2021-09,Gard,,4.0,0.0,0.0
176,2021-09,Gers,,1.0,0.0,0.0
177,2021-09,Gironde,33,35.0,0.0,66.0
178,2021-09,Haut-Rhin,67,7.0,0.0,0.0
179,2021-09,Haute-Corse,,1.0,0.0,0.0
180,2021-09,Haute-Garonne,31,4.0,0.0,0.0
181,2021-09,Haute-Loire,,2.0,0.0,0.0
182,2021-09,Haute-Marne,,1.0,0.0,0.0
183,2021-09,Haute-Savoie,,2.0,0.0,0.0
184,2021-09,Haute-Saône,,1.0,0.0,0.0
185,2021-09,Haute-Vienne,,3.0,0.0,0.0
186,2021-09,Hautes-Alpes,,2.0,0.0,0.0
187,2021-09,Hautes-Pyrénées,,3.0,0.0,0.0
188,2021-09,Hauts-de-Seine,92,26.0,0.0,41.0
189,2021-09,Hérault,34,3.0,0.0,0.0
190,2021-09,Ille-et-Vilaine,35,3.0,0.0,0.0
191,2021-09,Indre,36,0.0,111.0,0.0
192,2021-09,Indre-et-Loire,,5.0,0.0,0.0
193,2021-09,Isère,,6.0,0.0,0.0
194,2021-09,Jura,,1.0,0.0,0.0
195,2021-09,Landes,,2.0,0.0,0.0
196,2021-09,Loir-et-Cher,,3.0,0.0,0.0
197,2021-09,Loire,,3.0,0.0,0.0
198,2021-09,Loire-Atlantique,44,170.0,0.0,30.0
199,2021-09,Loiret,,5.0,0.0,0.0
200,2021-09,Lot,,2.0,0.0,0.0
201,2021-09,Lot-et-Garonne,,1.0,0.0,0.0
202,2021-09,Lozère,,1.0,0.0,0.0
203,2021-09,Maine-et-Loire,,3.0,0.0,0.0
204,2021-09,Manche,,1.0,0.0,0.0
205,2021-09,Marne,,4.0,0.0,0.0
206,2021-09,Meurthe-et-Moselle,,3.0,0.0,0.0
207,2021-09,Meuse,,2.0,0.0,0.0
208,2021-09,Morbihan,,4.0,0.0,0.0
209,2021-09,Moselle,,5.0,0.0,0.0
210,2021-09,Nièvre,,1.0,0.0,0.0
211,2021-09,Nord,59,11.0,0.0,0.0
212,2021-09,Oise,60,3.0,0.0,0.0
213,2021-09,Orne,,3.0,0.0,0.0
214,2021-09,Paris,75,212.0,0.0,114.0
215,2021-09,Pas-de-Calais,62,6.0,0.0,0.0
216,2021-09,Puy-de-Dôme,63,1.0,0.0,0.0
217,2021-09,Pyrénées-Atlantiques,,3.0,0.0,0.0
218,2021-09,Pyrénées-Orientales,,1.0,0.0,0.0
219,2021-09,Rhône,69,4.0,0.0,0.0
220,2021-09,Sarthe,,1.0,0.0,0.0
221,2021-09,Savoie,,2.0,0.0,0.0
222,2021-09,Saône-et-Loire,,4.0,0.0,0.0
223,2021-09,Seine-Maritime,76,18.0,0.0,4.0
224,2021-09,Seine-Saint-Denis,93,144.0,0.0,52.0
225,2021-09,Seine-et-Marne,77,263.0,0.0,19.0
226,2021-09,Somme,,2.0,0.0,0.0
227,2021-09,Tarn,,4.0,0.0,0.0
228,2021-09,Tarn-et-Garonne,,3.0,0.0,0.0
229,2021-09,Territoire de Belfort,,1.0,0.0,0.0
230,2021-09,Val-d'Oise,95,89.0,0.0,102.0
231,2021-09,Val-de-Marne,94,243.0,0.0,179.0
232,2021-09,Var,,5.0,0.0,0.0
233,2021-09,Vaucluse,,4.0,0.0,0.0
234,2021-09,Vienne,86,4.0,0.0,0.0
235,2021-09,Vosges,,3.0,0.0,0.0
236,2021-09,Yonne,,2.0,0.0,0.0
237,2021-09,Yvelines,78,146.0,0.0,34.0
238,2021-10,Alpes-Maritimes,06,845.0,0.0,3.0
239,2021-10,Ardèche,,4.0,0.0,0.0
240,2021-10,Bas-Rhin,67,92.0,0.0,39.0
241,2021-10,Bouches-du-Rhône,13,573.0,0.0,49.0
242,2021-10,Cantal,15,83.0,0.0,0.0
243,2021-10,Cher,,0.0,1.0,0.0
244,2021-10,Doubs,,0.0,1.0,0.0
245,2021-10,Essonne,91,36.0,0.0,12.0
246,2021-10,Gironde,33,46.0,0.0,36.0
247,2021-10,Hauts-de-Seine,,49.0,0.0,19.0
248,2021-10,Hérault,34,80.0,0.0,0.0
249,2021-10,Ille-et-Vilaine,35,720.0,0.0,0.0
250,2021-10,Indre,36,0.0,300.0,17.0
251,2021-10,Indre-et-Loire,,0.0,1.0,0.0
252,2021-10,Loire-Atlantique,44,187.0,0.0,5.0
253,2021-10,Nord,59,334.0,0.0,0.0
254,2021-10,Paris,75,299.0,0.0,132.0
255,2021-10,Pas-de-Calais,62,8.0,0.0,0.0
256,2021-10,Puy-de-Dôme,63,80.0,0.0,0.0
257,2021-10,Seine-Maritime,76,302.0,0.0,0.0
258,2021-10,Seine-Saint-Denis,93,171.0,0.0,12.0
259,2021-10,Seine-et-Marne,77,563.0,0.0,38.0
260,2021-10,Val-d'Oise,75,136.0,0.0,119.0
261,2021-10,Val-de-Marne,74,246.0,0.0,87.0
262,2021-10,Yvelines,78,56.0,0.0,131.0
